GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,com.fligth_booking.fligth_booking_backend.reservations,ReservationModel,299,0,62,0,9,0,49,0,18,0
backend,com.fligth_booking.fligth_booking_backend.reservations,ReservationStatus,15,0,0,0,3,0,1,0,1,0
backend,com.fligth_booking.fligth_booking_backend.reservations,ReservationController,68,0,0,0,19,0,4,0,4,0
backend,com.fligth_booking.fligth_booking_backend.reservations,ReservationService,181,0,8,0,43,0,10,0,6,0
backend,com.fligth_booking.fligth_booking_backend.reservations.reservationsDTOs,ReservationInfoDto,475,0,94,0,12,0,74,0,27,0
backend,com.fligth_booking.fligth_booking_backend.users,UserModel,342,0,70,0,11,0,55,0,20,0
backend,com.fligth_booking.fligth_booking_backend.users,UserService,152,0,10,0,31,0,11,0,6,0
backend,com.fligth_booking.fligth_booking_backend.users,UserController,100,0,2,0,29,0,7,0,6,0
backend,com.fligth_booking.fligth_booking_backend.flights.flightDTOs,CreateFlightDTO,320,0,62,0,8,0,50,0,19,0
backend,com.fligth_booking.fligth_booking_backend.flights.flightDTOs,FlightBasicInfoDTO,275,0,54,0,7,0,44,0,17,0
backend,com.fligth_booking.fligth_booking_backend,FligthBookingBackendApplication,8,0,0,0,3,0,2,0,2,0
backend,com.fligth_booking.fligth_booking_backend,AppConfiguration,7,0,0,0,2,0,2,0,2,0
backend,com.fligth_booking.fligth_booking_backend.flights,FlightController,172,0,4,0,47,0,11,0,9,0
backend,com.fligth_booking.fligth_booking_backend.flights,FlightModel,456,0,94,0,15,0,73,0,26,0
backend,com.fligth_booking.fligth_booking_backend.flights,FlightService,397,0,20,0,81,0,23,0,13,0
backend,com.fligth_booking.fligth_booking_backend.exceptions,InvalidSeatKeyPatternException,4,0,0,0,2,0,1,0,1,0
backend,com.fligth_booking.fligth_booking_backend.exceptions,UserIdNotFoundException,4,0,0,0,2,0,1,0,1,0
backend,com.fligth_booking.fligth_booking_backend.exceptions,ReservationNotFoundException,4,0,0,0,2,0,1,0,1,0
backend,com.fligth_booking.fligth_booking_backend.exceptions,OccupiedSeatException,4,0,0,0,2,0,1,0,1,0
backend,com.fligth_booking.fligth_booking_backend.exceptions,SeatNoFoundException,4,0,0,0,2,0,1,0,1,0
backend,com.fligth_booking.fligth_booking_backend.exceptions,FlightIdNotFoundException,4,0,0,0,2,0,1,0,1,0
backend,com.fligth_booking.fligth_booking_backend.users.userDTOs,UserBasicInfoDTO,275,0,54,0,7,0,44,0,17,0
backend,com.fligth_booking.fligth_booking_backend.seats,SeatStatus,27,0,0,0,5,0,1,0,1,0
backend,com.fligth_booking.fligth_booking_backend.seats,SeatModel,337,0,70,0,11,0,55,0,20,0
backend,com.fligth_booking.fligth_booking_backend.seats,SeatService,97,0,6,0,19,0,7,0,4,0
backend,com.fligth_booking.fligth_booking_backend.seats,SeatType,21,0,0,0,4,0,1,0,1,0
